student_num,level,participation,midterm,pe,final,total,faculty,is_afast
A0000941X,47,3,29,8,55,58.30,FOS,nil
A0001786H,48,3,31,4,33,48.40,FOS,nil
A0000300U,47,3.5,27,12,44,56.00,FOS,nil
A0002122L,51,3.5,45,17,54,67.60,SOC,no
A0000870W,51,3.5,49,21,79,80.40,FOS,nil
A0000157Y,50,3,22,17,40,56.90,FOS,nil
A0001492U,50,3.5,43.5,19,70,74.70,FOS,no
A0002175W,54,3,55.5,28.5,90,89.35,NUSHS,no
A0001283X,48,3.5,33,19,58.5,67.00,FOS,no
A0001270E,51,3.5,31,25,69,74.80,SOC,nil
A0001600L,50,3.5,40.5,16,29.5,56.40,FOS,no
A0000829M,55,3.5,72,22,88.5,89.30,SOC,no
A0001329W,50,3,28,13.5,56,62.75,SOC,no
A0000637U,50,3.5,43,13.5,44,61.45,,no
A0000283Y,49,3.5,20,7,47,54.30,FOS,nil
A0000018H,52,3.5,53,18.5,88,83.55,SOC,no
A0002226B,53,3,53,22,72,78.40,FOS,nil
A0000732B,54,2.5,46,23,76,78.60,FOS,nil
A0000351H,52,3.5,46,27,84,84.80,SOC,nil
A0000644X,52,2.5,45,10.5,70,69.75,FOS,no
A0001390Y,53,4.5,70,28.5,83.5,91.15,,no
A0000150M,56,4,64,28,79,87.40,FOS,nil
A0001616X,50,3.5,47,20,62,72.70,FOS,nil
A0001498H,53,4.5,55,20.5,68,77.95,FOS,no
A0001666M,45,2,51,13,60,65.20,FOS,nil
A0000367U,50,3.5,38,12,47,60.90,SOC,no
A0000675N,52,3.5,19.5,19.5,48.5,61.55,SOC,no
A0000761X,50,3,44,9.5,48,60.75,,yes
A0001122M,50,3.5,28.5,14.5,34,55.05,FOS,no
A0002092Y,50,2.5,34,6.5,41,53.95,FOS,no
A0000669J,51,3.5,54,21,67,76.60,FOS,nil
A0001923W,50,3.5,41,21,53,68.40,FOS,nil
A0000321M,51,2,31,20,59,66.80,FOS,nil
A0001732Y,50,3.5,45,17,49,65.60,SOC,nil
A0001543Y,56,3.5,47,23,79,81.00,FOS,nil
A0000068X,52,3.5,51,19,79,79.80,FOS,nil
A0000817U,54,3.5,71,25,83,88.40,FOS,nil
A0000266X,48,2,42,15,65,67.90,SOC,nil
A0001475R,52,4.5,63,29.5,71.5,85.45,FOS,no
A0000427Y,52,3,37.5,22.5,53.5,68.15,SOC,no
A0001363Y,53,3,44,26,57,72.60,FOS,nil
A0001845N,51,2.5,35.5,22,42,62.40,SOC,no
A0001397L,46,3.5,27,8,47,54.70,FOS,nil
A0001155B,52,3.5,37.5,28.5,40,66.25,FOS,no
A0001021R,52,3.5,42,20,59,70.50,FOS,nil
A0000973M,50,3,45,17.5,79,77.35,SOC,no
A0001594M,50,3,51,22,77.5,80.20,FOS,nil
A0001534Y,38,1.5,30,,,26.50,SOC,yes
A0000593R,56,3,68,29,90,92.10,FOS,nil
A0001964L,50,3,47.5,16,60,69.50,FOS,no
A0001099M,52,3.5,49,25,71.5,79.40,SOC,nil
A0000529U,49,0.5,31,14,46,56.60,FOS,nil
A0000417B,51,3,48,23,71,77.50,FOS,nil
A0000196U,51,4.5,44,26,59,74.90,SOC,nil
A0001074B,50,3,32,17,60.5,67.10,,no
A0000148Y,52,3.5,50,15,69.5,73.80,FOS,no
A0000822B,48,3,34,25,66,72.70,FASS,nil
A0001058X,53,3,52,25,52,71.70,SOC,nil
